cluster,variable,min,q1,median,mean,q3,max
1,CA,0.010619469,0.015929204,0.021238938,0.027296051,0.025585632,0.115044248
1,CA.G,0.062891292,0.097182698,0.098321002,0.110110578,0.11895276,0.195788275
1,CA.GS,0.002,0.002,0.003,0.003928571,0.00475,0.009
1,Total.CA,0.359,0.39525,0.574,0.611928571,0.745,1.153
1,DHPAA,0.01268797,0.065789474,0.110839217,0.117405065,0.169525376,0.223684211
1,DHPAA.G,0.010192408,0.032923817,0.049388976,0.053713444,0.06292555,0.162090484
1,DHPAA.GS,0.021024967,0.055190539,0.136662286,0.180026281,0.29500657,0.428383706
1,DHPAA.SS,0.007142857,0.027876984,0.038690476,0.063803855,0.062103175,0.204365079
1,Total.DHPAA,0.018642497,0.044881038,0.064952621,0.068663893,0.081418229,0.17813369
1,TFA.G,0.002395619,0.005047912,0.011635866,0.09137577,0.042180014,1
1,TFA.S,0,0.038813033,0.05454073,0.085844531,0.128750555,0.217643173
1,Total.TFA,0.000757338,0.039852211,0.055296498,0.089323388,0.130427139,0.218481213
1,VA,0.002416224,0.010456416,0.020037993,0.029699317,0.037368149,0.092166436
1,VA.GG,0.002475248,0.039294554,0.103341584,0.167963225,0.207920792,0.861386139
1,VA.GS,0.030701754,0.061234818,0.103070175,0.199657798,0.246288799,1
1,VA.SS,0,0.029675252,0.056550952,0.06224536,0.073161627,0.167599851
1,Total.VA,0.014031077,0.02684044,0.039351622,0.044838391,0.047969884,0.111834476
2,CA,0.015929204,0.024778761,0.042666667,0.226940413,0.051327434,1
2,CA.G,0.505406944,0.809618668,0.813318156,0.796585088,0.854581673,1
2,CA.GS,0.002,0.002,0.002,0.0038,0.005,0.008
2,Total.CA,1.81,2.88,3.018,2.9314,3.418,3.531
2,DHPAA,0.04981203,0.154135338,0.179981203,0.223026316,0.319078947,0.41212406
2,DHPAA.G,0.082839314,0.114794592,0.130655226,0.16525741,0.147087884,0.350910036
2,DHPAA.GS,0.03022339,0.045992116,0.049934297,0.088830486,0.055190539,0.262812089
2,DHPAA.SS,0.005952381,0.013095238,0.077380952,0.07015873,0.1,0.154365079
2,Total.DHPAA,0.096611391,0.140817226,0.150633433,0.186351724,0.157843238,0.385853332
2,TFA.G,0.003080082,0.007871321,0.010609172,0.014442163,0.022587269,0.028062971
2,TFA.S,0.047080225,0.081459184,0.109980185,0.250939331,0.156334932,0.859842127
2,Total.TFA,0.048372264,0.083036709,0.110831016,0.2518452,0.156985362,0.860000649
2,VA,0.076369332,0.099665061,0.105480662,0.103970939,0.106280515,0.132059122
2,VA.GG,0.03960396,0.068069307,0.173267327,0.223762376,0.370049505,0.467821782
2,VA.GS,0.100539811,0.135290148,0.143724696,0.184667866,0.216261808,0.327522867
2,VA.SS,0.010078387,0.022396417,0.026129153,0.03210153,0.029488615,0.07241508
2,Total.VA,0.089785641,0.108902362,0.115512043,0.114249743,0.118792035,0.138256635
3,CA,0.001769912,0.017699115,0.025585632,0.03811782,0.042525074,0.17121565
3,CA.G,0.00142288,0.010173591,0.019066591,0.022689006,0.03009391,0.068298236
3,CA.GS,0.001,0.002,0.002,0.002791667,0.003,0.009
3,Total.CA,0.024,0.089,0.1705,0.258395833,0.25975,1.917
3,DHPAA,0.002349624,0.053218985,0.089520677,0.107899456,0.156954887,0.308740602
3,DHPAA.G,0.002288092,0.022445398,0.041445658,0.046899629,0.058050355,0.141263651
3,DHPAA.GS,0,0.048620237,0.14651774,0.167146234,0.205978975,1
3,DHPAA.SS,0.027777778,0.054265873,0.064087302,0.078828377,0.085450542,0.267460317
3,Total.DHPAA,0.009372747,0.035495417,0.051125245,0.05990996,0.068660521,0.154315583
3,TFA.G,0.001368925,0.004791239,0.009069131,0.01254005,0.017539357,0.043463381
3,TFA.S,0.001234394,0.041709528,0.069099001,0.114931522,0.118212186,0.553387546
3,Total.TFA,0.00195826,0.042408227,0.069918532,0.115867765,0.11927804,0.553981975
3,VA,0.000566563,0.008660912,0.020337938,0.023174571,0.030623552,0.06487144
3,VA.GG,0.011138614,0.102327685,0.170792079,0.228913914,0.296410891,1
3,VA.GS,0.041835358,0.100118084,0.178475034,0.217198199,0.315958165,0.758097166
3,VA.SS,0.003359462,0.03331467,0.056177678,0.070748799,0.092571855,0.333706607
3,Total.VA,0.007239174,0.025854786,0.037670212,0.039794407,0.051953914,0.089305238
4,CA,0.003539823,0.010619469,0.019469027,0.027402152,0.027433628,0.171681416
4,CA.G,0.001138304,0.008394991,0.013944223,0.018874667,0.026750142,0.071997723
4,CA.GS,0.001,0.002,0.002,0.002534884,0.003,0.008
4,Total.CA,0.018,0.086,0.168,0.22472093,0.2995,0.959
4,DHPAA,0.004229323,0.068175246,0.105263158,0.104032053,0.124295113,0.336466165
4,DHPAA.G,0.001898076,0.009633385,0.025611024,0.030407309,0.037766511,0.115834633
4,DHPAA.GS,0.007884363,0.066331486,0.105124836,0.146645089,0.185939553,0.649145861
4,DHPAA.SS,0.003968254,0.008333333,0.01984127,0.020406477,0.02797619,0.046825397
4,Total.DHPAA,0.005767844,0.021462046,0.033757339,0.040012623,0.049773406,0.132145432
4,TFA.G,0,0.004106776,0.008213552,0.014913465,0.015913758,0.088295688
4,TFA.S,0.001699999,0.017471008,0.066646454,0.110725303,0.169231102,0.571535305
4,Total.TFA,0.002380205,0.018235619,0.067338173,0.111749131,0.169925024,0.572374471
4,VA,0.000983153,0.006498809,0.013080935,0.01566448,0.020287947,0.083218077
4,VA.GG,0,0.059405941,0.097429551,0.151807696,0.185024752,0.529526167
4,VA.GS,0.011133603,0.067476383,0.117071525,0.133677133,0.170040486,0.407894737
4,VA.SS,0,0.020903322,0.035382726,0.04497653,0.062896603,0.218365062
4,Total.VA,0.00536726,0.014561177,0.019862174,0.024727072,0.030149422,0.096875725
5,CA,0.008849558,0.019670744,0.032743363,0.055902999,0.053097345,0.171681416
5,CA.G,0.000853728,0.007968127,0.025184974,0.049251972,0.08992601,0.169322709
5,CA.GS,0.001,0.002,0.002,0.003214286,0.00475,0.007
5,Total.CA,0.028,0.11025,0.208,0.235285714,0.36075,0.698
5,DHPAA,0.030075188,0.059445489,0.103618421,0.178529471,0.224506579,0.630639098
5,DHPAA.G,0.032787311,0.092141186,0.134547678,0.170924165,0.23575143,0.391211648
5,DHPAA.GS,0.022339028,0.056176084,0.188567674,0.218348575,0.301248357,0.779237845
5,DHPAA.SS,0.019444444,0.037202381,0.052380952,0.067267574,0.063214286,0.249206349
5,Total.DHPAA,0,0.088126996,0.134166752,0.177688595,0.251989134,0.428674426
5,TFA.G,0.001368925,0.005304586,0.009924709,0.020949448,0.026009582,0.091718001
5,TFA.S,0.036035646,0.052153151,0.18621485,0.301523193,0.410861044,0.937706409
5,Total.TFA,0.037033831,0.053032598,0.187230198,0.30258515,0.412478767,0.938796265
5,VA,0.086917398,0.11811168,0.14169069,0.159618356,0.16907317,0.330239456
5,VA.GG,0.012376238,0.020111386,0.180693069,0.16354314,0.267326733,0.39480198
5,VA.GS,0.07388664,0.106865722,0.182523617,0.237597198,0.327522867,0.676788124
5,VA.SS,0.009705114,0.031075028,0.062817183,0.069112914,0.089678985,0.211272863
5,Total.VA,0.114319319,0.131646954,0.152155187,0.172387721,0.184006726,0.337723222
6,CA,0.088495575,0.088495575,0.088495575,0.088495575,0.088495575,0.088495575
6,CA.G,0.178429141,0.178429141,0.178429141,0.178429141,0.178429141,0.178429141
6,CA.GS,0.009,0.009,0.009,0.009,0.009,0.009
6,Total.CA,0.678,0.678,0.678,0.678,0.678,0.678
6,DHPAA,0.069078947,0.069078947,0.069078947,0.069078947,0.069078947,0.069078947
6,DHPAA.G,0.153640146,0.153640146,0.153640146,0.153640146,0.153640146,0.153640146
6,DHPAA.GS,0.445466491,0.445466491,0.445466491,0.445466491,0.445466491,0.445466491
6,DHPAA.SS,1,1,1,1,1,1
6,Total.DHPAA,0.230842517,0.230842517,0.230842517,0.230842517,0.230842517,0.230842517
6,TFA.G,0.044832307,0.044832307,0.044832307,0.044832307,0.044832307,0.044832307
6,TFA.S,0.32029279,0.32029279,0.32029279,0.32029279,0.32029279,0.32029279
6,Total.TFA,0.322063422,0.322063422,0.322063422,0.322063422,0.322063422,0.322063422
6,VA,0.035226875,0.035226875,0.035226875,0.035226875,0.035226875,0.035226875
6,VA.GG,0.545792079,0.545792079,0.545792079,0.545792079,0.545792079,0.545792079
6,VA.GS,0.700067476,0.700067476,0.700067476,0.700067476,0.700067476,0.700067476
6,VA.SS,1,1,1,1,1,1
6,Total.VA,0.121773846,0.121773846,0.121773846,0.121773846,0.121773846,0.121773846
