"","Mínimo","Q1","Media","Media recortada","Mediana","Moda","Varianza","Desviación Estándar","Q3","Máximo","Simetría","Curtosis"
"1",0,0.015929203539823,0.043147836598263,0.0357524497620632,0.0265486725663717,0.0255856324830817,0.00562073951637242,0.0749715913954907,0.0438525073746313,1,8.9251191485961,104.959373962673
"2",0,0.0157228229937393,0.0705873648264086,0.0555377529497855,0.0341491178144565,0.00369948776323278,0.0148755470634729,0.121965351897467,0.0869379624359704,1,5.0332862646826,29.5817371414148
"3",0,0.0587406015037594,0.142759586436777,0.133456869559071,0.112655877498625,0.0681752458068247,0.0155116724910191,0.124545865009719,0.181508458646617,1,2.53668153471109,10.4350492699388
"4",0,0.0217823712948518,0.0710674394679491,0.0627136816253852,0.0426157046281851,0.00449817992719709,0.00883697769271703,0.0940052003493266,0.0837558502340094,1,4.82691790421637,38.0213098964392
"5",0,0.0578186596583443,0.162469567449902,0.152579176047349,0.122207621550591,0.127463863337714,0.0212162530385498,0.145658000255907,0.221747700394218,1,1.92787547686599,5.67248370108696
"6",0,0.023015873015873,0.0566992720583724,0.0505327821074674,0.043452380952381,0.0844367015098723,0.00541501634699042,0.0735867946508776,0.0694444444444444,1,8.72562466486318,105.818760690611
"7",0,0.0337573385518591,0.0843618750071526,0.0759508682107787,0.0541894118858791,0.0337573385518591,0.0093430179748121,0.0966592880938614,0.0967658873210423,1,4.4412434435182,32.4041848483173
"8",0,0.00479123887748118,0.0213639125425131,0.0160551626782419,0.00924024640657084,0.00684462696783025,0.00429104490958224,0.0655060677310296,0.0195071868583162,1,13.3980016483727,196.345703042785
"9",0,0.0435665327601702,0.140029358883332,0.12489691067704,0.0924063105692289,0.0870680974088552,0.0258768789379421,0.160862919710983,0.17622600240382,1,2.75946122010867,9.47962218957808
"10",0.000757338064893053,0.044409763169568,0.141116619242878,0.126009962132188,0.0931471724242391,0.000757338064893053,0.0258681470833451,0.16083577675177,0.176987200986703,1,2.75679550884972,9.46443216187852
"11",0,0.0124310543067104,0.0525921014653359,0.0413303184513559,0.0248454450017497,0.021385802930948,0.00929922356186814,0.0964324818817194,0.0520487910549733,1,5.71010240897316,43.3276198802798
"12",0,0.0671410891089109,0.181452309736468,0.170476779301349,0.143564356435644,0.0974295506473724,0.0254362809165308,0.159487557246736,0.247524752475248,1,1.86667801299311,4.7531464186646
"13",0,0.0813933873144399,0.169161421149881,0.15913881574987,0.132591093117409,0.094839567345459,0.0192092962592248,0.138597605532075,0.201754385964912,1,2.18467029310841,7.05770251482161
"14",0,0.0213699141470698,0.057744597844441,0.0511376131290591,0.0421799178798059,0.0353827258606365,0.005853123578688,0.0765057094515697,0.0726950354609929,1,7.90855610033124,90.4193506000458
"15",0.00536725971573402,0.0219991385879469,0.0648777126196866,0.0537503441889627,0.0376867773249843,0.0206407580426068,0.00935344584091313,0.0967132144068903,0.0708055859258523,1,5.5602662222894,41.2886262661439
